Blue,Green,Red,NIR,SWIR-1,SWIR-2,Landcover
0.0525,0.0696,0.0586,0.2472,0.1931,0.1236,10
0.03605,0.0607,0.0459,0.2489,0.18305,0.0923,10
0.03665,0.05565,0.0347,0.2348,0.15745,0.07425,10
0.1081,0.1256,0.08515,0.439,0.266,0.1381,10
0.0361,0.0576,0.0384,0.273,0.1784,0.0813,10
0.0541,0.0777,0.0508,0.3194,0.1857,0.089,10
0.04475,0.0682,0.05275,0.2046,0.16035,0.08175,10
0.0426,0.06055,0.04245,0.2217,0.1501,0.07795,10
0.10145,0.1121,0.0824,0.3707,0.23885,0.1259,10
0.0727,0.0943,0.1138,0.2156,0.2262,0.1933,10
0.05885,0.06995,0.05345,0.2889,0.1857,0.09405,10
0.0399,0.0608,0.042,0.213,0.1673,0.0799,10
0.07325,0.08485,0.08095,0.1901,0.1831,0.1317,10
0.0456,0.0675,0.0471,0.2276,0.1672,0.089,10
0.0416,0.059,0.0474,0.236,0.1899,0.1051,10
0.0519,0.0752,0.0677,0.2324,0.1932,0.1184,10
0.0522,0.0703,0.0605,0.2688,0.1686,0.0985,10
0.0891,0.1042,0.1136,0.2078,0.2124,0.161,10
0.0927,0.108,0.105,0.2324,0.169,0.1156,10
0.08935,0.1074,0.0742,0.4358,0.2605,0.12635,10
0.0405,0.06055,0.0469,0.24,0.1768,0.09465,10
0.0646,0.0837,0.0858,0.1959,0.22315,0.1595,10
0.0534,0.0717,0.0494,0.2666,0.176,0.0848,10
0.0459,0.05955,0.04295,0.2388,0.1563,0.0814,10
0.0384,0.0614,0.038,0.259,0.1704,0.0817,10
0.052,0.0735,0.0657,0.2416,0.1859,0.1021,10
0.0524,0.0655,0.0503,0.2642,0.1754,0.0951,10
0.0362,0.05855,0.04035,0.2653,0.17035,0.08575,10
0.0499,0.0695,0.0576,0.2468,0.2073,0.1164,10
0.0466,0.0656,0.0615,0.2534,0.2114,0.1256,10
0.04165,0.06025,0.03765,0.2625,0.15385,0.0711,10
0.0633,0.0837,0.0906,0.222,0.20455,0.14105,10
0.0483,0.069,0.0609,0.2752,0.1826,0.1135,10
0.0541,0.0766,0.0474,0.3344,0.1701,0.0741,10
0.0545,0.0728,0.0466,0.3174,0.1776,0.0844,10
0.0505,0.0698,0.0628,0.1942,0.1981,0.1237,10
0.0371,0.0552,0.0369,0.2366,0.1392,0.0639,10
0.0894,0.1032,0.1028,0.171,0.1943,0.1588,10
0.0431,0.06245,0.0543,0.2117,0.1904,0.10805,10
0.0552,0.0707,0.061,0.186,0.1363,0.0867,10
0.061,0.0949,0.1002,0.2498,0.2629,0.1889,10
0.0456,0.0651,0.0435,0.2408,0.1654,0.0813,10
0.053,0.069,0.0595,0.1932,0.15455,0.1024,10
0.0543,0.0775,0.0704,0.2354,0.2046,0.1315,10
0.0646,0.0811,0.0839,0.1802,0.206,0.1405,10
0.0533,0.065,0.0563,0.15,0.128,0.0992,10
0.0591,0.0822,0.083,0.2464,0.2086,0.1266,10
0.0627,0.0825,0.0834,0.2224,0.2043,0.1516,10
0.0404,0.0632,0.0411,0.2476,0.1665,0.0846,10
0.0644,0.0873,0.0864,0.2712,0.2034,0.1317,10
0.0631,0.08265,0.08005,0.2371,0.1894,0.12485,10
0.0533,0.0665,0.0561,0.226,0.158,0.0944,10
0.0543,0.0737,0.064,0.232,0.1856,0.1094,10
0.04805,0.07005,0.05165,0.2288,0.17555,0.0932,10
0.0662,0.0831,0.0777,0.2076,0.1955,0.127,10
0.0779,0.101,0.10285,0.203,0.1791,0.1324,10
0.048,0.0702,0.0692,0.1984,0.2235,0.146,10
0.039,0.0556,0.0402,0.252,0.1573,0.0694,10
0.0449,0.0673,0.0469,0.2169,0.16105,0.08385,10
0.0446,0.0684,0.0462,0.2612,0.1824,0.0891,10
0.0609,0.083,0.0975,0.2137,0.238,0.15835,10
0.0606,0.0816,0.0513,0.3186,0.1599,0.068,10
0.0431,0.0554,0.038,0.2778,0.1696,0.0757,10
0.0411,0.0589,0.0476,0.2294,0.1415,0.0726,10
0.0406,0.0572,0.0459,0.2474,0.1887,0.097,10
0.0735,0.098,0.1086,0.2424,0.2044,0.1491,10
0.07565,0.09655,0.08905,0.2195,0.18065,0.1508,10
0.05175,0.07265,0.07105,0.2334,0.20025,0.1164,10
0.0502,0.0642,0.0467,0.2584,0.1651,0.0805,10
0.0641,0.0813,0.0707,0.233,0.2095,0.1324,10
0.0491,0.0658,0.0551,0.2274,0.1963,0.113,10
0.0517,0.0774,0.0686,0.2526,0.1842,0.1179,10
0.0634,0.0869,0.0844,0.2116,0.1925,0.1346,10
0.0667,0.0914,0.063,0.3212,0.2029,0.0947,10
0.0481,0.0688,0.0552,0.2162,0.1802,0.1022,10
0.0417,0.0564,0.0465,0.211,0.1341,0.0717,10
0.04285,0.06055,0.0468,0.2115,0.1659,0.1001,10
0.0554,0.0791,0.0605,0.2524,0.1879,0.0961,10
0.0658,0.0885,0.0967,0.2438,0.2453,0.1651,10
0.0407,0.0578,0.0462,0.2436,0.1737,0.084,10
0.0629,0.0876,0.0987,0.2294,0.2305,0.1582,10
0.09005,0.1148,0.07675,0.4336,0.28515,0.14645,10
0.0506,0.0654,0.0524,0.2282,0.1657,0.0948,10
0.04185,0.06095,0.0424,0.2204,0.1553,0.076,10
0.07485,0.09245,0.0824,0.2085,0.17095,0.0996,10
0.0428,0.0616,0.044,0.244,0.1615,0.0794,10
0.0447,0.0677,0.0494,0.2386,0.1685,0.0883,10
0.057,0.0747,0.0677,0.2558,0.1968,0.116,10
0.04395,0.06585,0.0416,0.2887,0.1783,0.08665,10
0.0415,0.0625,0.048,0.2226,0.191,0.1049,10
0.04135,0.05505,0.04265,0.2743,0.16655,0.07885,10
0.0453,0.0651,0.0486,0.2632,0.1678,0.092,10
0.0565,0.0877,0.0534,0.3486,0.1942,0.089,10
0.04725,0.0747,0.04925,0.2674,0.1852,0.09775,10
0.0386,0.0574,0.0414,0.2581,0.1747,0.0855,10
0.0432,0.0567,0.0553,0.2034,0.1348,0.0842,10
0.0573,0.0708,0.0543,0.2568,0.1897,0.0936,10
0.0462,0.07,0.0433,0.2808,0.1892,0.0893,10
0.0589,0.0827,0.0626,0.2651,0.17225,0.09595,10
0.0493,0.0681,0.0509,0.2166,0.1758,0.0947,10
0.0372,0.06085,0.0405,0.2718,0.1754,0.08335,10
0.06195,0.08355,0.06365,0.3039,0.18825,0.09045,10
0.0496,0.0719,0.0466,0.3108,0.1943,0.0951,10
0.0395,0.0566,0.0434,0.2261,0.16715,0.09335,10
0.068,0.0885,0.0886,0.2286,0.2228,0.1419,10
0.0577,0.083,0.0998,0.2343,0.2438,0.18505,10
0.0466,0.0623,0.0601,0.2154,0.176,0.0974,10
0.0474,0.0652,0.0431,0.3196,0.1925,0.0887,10
0.0498,0.0648,0.0433,0.2918,0.174,0.0835,10
0.0466,0.0679,0.05645,0.2612,0.2128,0.10325,10
0.05095,0.06765,0.04565,0.3085,0.1949,0.09575,10
0.0619,0.08175,0.0613,0.2578,0.17865,0.0915,10
0.0553,0.07415,0.0559,0.2562,0.153,0.08005,10
0.04325,0.063,0.04785,0.2016,0.1547,0.08785,10
0.0634,0.0877,0.0806,0.2424,0.1779,0.1046,10
0.0444,0.0663,0.0575,0.2316,0.1905,0.1057,10
0.04405,0.0585,0.0571,0.2013,0.1599,0.08945,10
0.0791,0.0989,0.1022,0.1872,0.1893,0.1386,10
